COGNOME;NOME;DATA NASCITA (gg/mm/aaaa);LUOGO NASCITA;PROVINCIA NASCITA;DATA FINE CONTROLLO (gg/mm/aaaa);ENTE DI APPARTENENZA;RUOLO
CONTE;GIUSEPPE;08/08/1964;VOLTURARA APPULA ;FG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
COPPO;MARCELLO;27/11/1978;ASTI;AT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CORTELAZZO;PIERGIORGIO;20/02/1969;ESTE ;PD;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
COSENZA;GIULIA;25/01/1968;NAPOLI;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
COSTA;ENRICO;29/11/1969;CUNEO;CN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
COSTA;SERGIO;22/04/1959;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
COTTARELLI;CARLO;18/08/1954;CREMONA;CR;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CRAXI;STEFANIA GABRIELLA ANASTASIA;25/10/1960;MILANO;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CRIPPA;ANDREA;10/05/1986;MONZA ;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CRISANTI;ANDREA;14/09/1954;ROMA;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CROATTI;MARCO;17/09/1972;RIMINI;RN;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CROSETTO;GUIDO;19/09/1963;CUNEO;CN;31/12/2030;MINISTERO DELLA DIFESA;MINISTRO
CUCCHI;ILARIA;22/06/1974;ROMA;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
CUPERLO;GIANNI;03/09/1961;TRIESTE;TS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
CURTI;AUGUSTO;04/03/1978;ASCOLI PICENO;AP;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
D'ALBERTI;MARCO;10/08/1948;ROMA;RM;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
D'ALESSIO;ANTONIO;05/12/1964;SALERNO;SA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
D'ALFONSO;LUCIANO;13/12/1965;LETTOMANOPPELLO ;PE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DALLA CHIESA;RITA;31/08/1947;CASORIA ;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DAMANTE;CONCETTA;05/02/1972;GELA ;CL;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DAMIANI;DARIO;21/06/1974;BARLETTA ;BA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DARA;ANDREA;07/01/1979;CASTEL GOFFREDO ;MN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
D'ATTIS;MAURO;30/07/1973;GALATINA ;LE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DE BERTOLDI;ANDREA;12/05/1966;BOLZANO;BZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DE CARLO;LUCA;07/08/1972;PIEVE DI CADORE ;BL;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DE CORATO;RICCARDO;01/11/1951;ANDRIA ;BA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DE CRISTOFARO;PEPPE;26/06/1971;NAPOLI;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DE LUCA;PIERO;11/06/1980;CAVA DE' TIRRENI ;SA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DE LUCA;VINCENZO ;08/05/1949;RUVO DEL MONTE;PZ;31/12/2030;REGIONE CAMPANIA;PRESIDENTE
DE MARIA;ANDREA;05/10/1966;BAZZANO ;BO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DE MICHELI;PAOLA;01/09/1973;PIACENZA;PC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DE MONTE;ISABELLA;23/06/1971;UDINE;UD;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DE PALMA;VITO;13/11/1966;GINOSA ;TA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DE PASCALE ;MICHELE;20/01/1985;CESENA;FO;31/12/2030;REGIONE EMILIA-ROMAGNA;PRESIDENTE
DE POLI;ANTONIO;04/10/1960;VICENZA;VI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DE PRIAMO;ANDREA;24/05/1971;ROMA;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DE ROSA;RAFFAELE;20/06/1978;POMPEI;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DEIDDA;SALVATORE;07/10/1976;CAGLIARI;CA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DEL BARBA;MAURO;20/07/1970;MORBEGNO ;SO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
D'ELIA;CECILIA;31/07/1963;POTENZA;PZ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DELLA PORTA ;COSTANZO;29/10/1975;TERMOLI ;CB;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DELLA VEDOVA;BENEDETTO;03/04/1962;SONDRIO;SO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DELL'OLIO;GIANMAURO;07/03/1968;BARI;BA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DELMASTRO DELLE VEDOVE;ANDREA;22/10/1976;GATTINARA;VC;31/12/2030;Ministero della Giustizia;SOTTOSEGRETARIO DI STATO
DELMASTRO DELLE VEDOVE;ANDREA;22/10/1976;GATTINARA ;VC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DELRIO;GRAZIANO;27/04/1960;REGGIO EMILIA;RE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
D'ERAMO;LUIGI;10/05/1976;L'AQUILA;AQ;31/12/2030;Ministero dell'Agricoltura, della Sovranità alimentare e delle Foreste;SOTTOSEGRETARIO DI STATO
DI BIASE;MICHELA;17/10/1980;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DI GIROLAMO;GABRIELLA;15/05/1977;SULMONA ;AQ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DI GIUSEPPE;ANDREA;20/05/1968;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DI LAURO;CARMEN;24/03/1988;VICO EQUENSE ;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DI MAGGIO;GRAZIA;11/11/1994;TARANTO;TA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DI MATTINA;SALVATORE MARCELLO;05/01/1982;TAVIANO ;LE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DI SANZO;CHRISTIAN DIEGO;18/11/1982;PRATO ;FI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DONDI;DANIELA;12/01/1962;MODENA;MO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DONNO;LEONARDO;21/07/1985;GALATINA ;LE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DONZELLI;GIOVANNI;28/11/1975;FIRENZE;FI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DORI;DEVIS;27/12/1979;TREVIGLIO ;BG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
D'ORSO;VALENTINA; 09/07/1980;PALERMO;PA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
DREOSTO;MARCO;18/03/1969;SPILIMBERGO ;PN;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DURIGON;CLAUDIO;10/09/1971;LATINA;LT;31/12/2030;Ministero del Lavoro e delle Politiche Sociali;SOTTOSEGRETARIO DI STATO
DURIGON;CLAUDIO;10/09/1971;LATINA;LT;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
DURNWALDER;MEINHARD;12/12/1976;BRUNICO ;BZ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
EMILIANO;MICHELE ;23/07/1959;BARI;BA;31/12/2030;REGIONE PUGLIA;PRESIDENTE
EVI;ELEONORA; 29/07/1980;PALERMO;PA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FALLUCCHI;ANNA MARIA ;19/05/1968;FOGGIA;FG;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
FARAONE;DAVIDE; 19/07/1975;PALERMO;PA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FAROLFI;MARTA;01/01/1962;BRISIGHELLA ;RA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
FASCINA;MARTA ANTONIA; 09/07/1990;MELITO DI PORTO SALVO ;RC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FASSINO;PIERO; 07/10/1949;AVIGLIANA ;TO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FAZZOLARI;GIOVANBATTISTA;24/04/1972;MESSINA;ME;31/12/2030;Presidenza del Consiglio dei Ministri;SOTTOSEGRETARIO DI STATO
FAZZOLARI;GIOVANBATTISTA;24/02/1972;MESSINA;ME;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
FAZZONE;CLAUDIO;07/10/1961;FONDI ;LT;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
FEDE;GIORGIO; 23/12/1961;SAN BENEDETTO DEL TRONTO ;AP;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FEDRIGA;MASSIMILIANO;02/07/1980;VERONA;VR;31/12/2030;REGIONE FRIULI-VENEZIA GIULIA;PRESIDENTE
FENU;EMILIANO; 29/01/1977;SINISCOLA ;NU;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FERRANTE;TULLIO;13/01/1989;SAN GIORGIO A CREMANO;NA;31/12/2030;Ministero delle Infrastrutture e dei Trasporti;SOTTOSEGRETARIO DI STATO
FERRANTE;TULLIO; 13/01/1989;SAN GIORGIO A CREMANO ;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FERRARA;ANTONIO; 28/01/1970;VARESE;VA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FERRARI;SARA; 05/01/1971;ROVERETO ;TN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FERRO;WANDA;24/03/1968;CATANZARO;CZ;31/12/2030;Ministero dell'Interno;SOTTOSEGRETARIO DI STATO
FERRO;WANDA; 24/03/1968;CATANZARO;CZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FILINI;FRANCESCO; 04/09/1978;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FINA;MICHELE;30/09/1978;AVEZZANO ;AQ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
FLORIDIA;AURORA;06/05/1967;VERONA;VR;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
FLORIDIA;BARBARA;05/02/1977;MESSINA;ME;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
FONTANA;ATTILIO;28/03/1952;VARESE;VA;31/12/2030;REGIONE LOMBARDIA;PRESIDENTE
FONTANA;ILARIA; 26/06/1984;ALATRI ;FR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FONTANA;LORENZO;10/04/1980;VERONA;VR;31/12/2030;CAMERA DEI DEPUTATI;PRESIDENTE
FONTANA;LORENZO; 10/04/1980;VERONA;VR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FORATTINI;ANTONELLA; 13/05/1966;GONZAGA ;MN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FORMENTINI;PAOLO; 30/04/1980;DESENZANO DEL GARDA ;BS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FORNARO;FEDERICO; 09/12/1962;GENOVA;GE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FOSSI;EMILIANO; 02/09/1973;FIRENZE;FI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FOTI;TOMMASO;28/04/1960;PIACENZA;PC;31/12/2030;MINISTERO PER GLI AFFARI EUROPEI, IL PNRR E LE POLITICHE DI COESIONE;MINISTRO
FOTI;TOMMASO; 28/04/1960;PIACENZA;PC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FRANCESCHELLI;SILVIO;16/08/1970;PISTOIA;PT;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
FRANCESCHINI;DARIO;19/10/1958;FERRARA;FE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
FRASSINETTI;PAOLA;02/05/1956;GENOVA;GE;31/12/2030;Ministero dell'Istruzione e del Merito;SOTTOSEGRETARIO DI STATO
FRASSINETTI;PAOLA; 02/05/1956;GENOVA;GE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FRASSINI;REBECCA; 24/11/1988;CALCINATE ;BG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FRATOIANNI;NICOLA; 04/10/1972;PISA;PI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FREGOLENT;SILVIA;25/01/1972;TORINO;TO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
FRENI;FEDERICO;01/07/1980;ROMA;RM;31/12/2030;Ministero dell'Economia e delle Finanze;SOTTOSEGRETARIO DI STATO
FRENI;FEDERICO; 01/07/1980;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FRIJIA;MARIA GRAZIA; 09/08/1974;LA SPEZIA;SP;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FUGATTI;MAURIZIO;07/04/1972;BUSSOLENGO;VR;31/12/2030;PROVINCIA AUTONOMA TRENTO;PRESIDENTE
FURFARO;MARCO; 19/06/1980;PISTOIA;PT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FURGIUELE;DOMENICO; 01/01/1983;LAMEZIA TERME ;CZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
FURLAN;ANNAMARIA;24/04/1958;GENOVA;GE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GABELLONE;ANTONIO MARIA;16/09/1959;GALLIPOLI ;LE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GADDA;MARIA CHIARA;06/02/1980;TRADATE ;VA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GALLIANI;ADRIANO;30/07/1944;MONZA ;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GALLO;FRANCESCO;03/11/1966;MESSINA;ME;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GARAVAGLIA;MASSIMO;08/04/1968;CUGGIONO;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GARDINI;ELISABETTA;03/06/1956;PADOVA;PD;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GARNERO SANTANCHE';DANIELA;07/04/1961;CUNEO;CN;31/12/2030;MINISTERO DEL TURISMO;MINISTRO
GARNERO SANTANCHE';DANIELA;07/04/1961;CUNEO;CN;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GASPARRI;MAURIZIO;18/07/1956;ROMA;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GATTA;GIANDIEGO;10/04/1964;MANFREDONIA ;FG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GAVA;VANNIA;30/06/1974;SACILE ;PN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GEBHARD;RENATE;02/05/1977;BOLZANO;BZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GELMETTI;MATTEO;12/06/1975;VERONA;VR;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GELMINI;MARIASTELLA;01/07/1973;LENO ;BS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GEMMATO;MARCELLO;21/12/1972;BARI;BA;31/12/2030;Ministero della Salute;SOTTOSEGRETARIO DI STATO
GEMMATO;MARCELLO;21/12/1972;BARI;BA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GERMANA';ANTONINO;12/04/1976;MESSINA;ME;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GHIO;VALENTINA;05/05/1971;SESTRI LEVANTE ;GE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GHIRRA;FRANCESCA;25/07/1978;CAGLIARI;CA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIACCONE;ANDREA;08/10/1976;SAVIGLIANO;CN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIACHETTI;ROBERTO;24/04/1961;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIACOBBE;FRANCESCO;10/07/1958;CATANIA;CT;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GIAGONI;DARIO;15/02/1979;OZIERI ;SS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIANASSI;FEDERICO;21/05/1980;FIRENZE;FI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIANI ;EUGENIO;30/06/1959;EMPOLI;FI;31/12/2030;REGIONE TOSCANA ;PRESIDENTE
GIGLIO VIGNA;ALESSANDRO;13/12/1980;IVREA ;TO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIORDANO;ANTONIO;06/06/1964;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIORGETTI;GIANCARLO;16/12/1966;CAZZAGO BRABBIA;VA;31/12/2030;MINISTERO DELL'ECONOMIA E DELLE FINANZE;MINISTRO
GIORGETTI;GIANCARLO;16/12/1966;CAZZAGO BRABBIA ;VA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIORGIANNI;CARMEN LETIZIA;26/06/1977;SARTEANO ;SI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIORGIS;ANDREA;12/04/1965;TORINO;TO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GIOVINE;SILVIO;20/12/1983;VICENZA;VI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIRELLI;GIAN ANTONIO;15/09/1962;SALO' ;BS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIULI;ALESSANDRO;27/09/1975;ROMA;RM;31/12/2030;MINISTERO DELLA CULTURA;MINISTRO
GIULIANO;CARLA;02/04/1983;SAN SEVERO ;FG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GNASSI;ANDREA;27/03/1969;RIMINI;RN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GRAZIANO;STEFANO;13/09/1971;AVERSA ;CE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GRIBAUDO;CHIARA;16/05/1981;CUNEO;CN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GRIMALDI;MARCO;08/11/1980;TORINO;TO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GRIPPO;VALENTINA;07/08/1971;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GRUPPIONI;NAIKE;25/01/1979;BOLOGNA;BO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GUBITOSA;MICHELE;21/12/1966;ATRIPALDA ;AV;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GUERINI;LORENZO;21/11/1966;LODI;LO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GUERRA;MARIA CECILIA;06/12/1957;NONANTOLA ;MO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GUIDI;ANTONIO;13/06/1945;ROMA ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GUIDOLIN;BARBARA;21/09/1975;BASSANO DEL GRAPPA ;VI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GUSMEROLI;ALBERTO LUIGI;27/02/1961;VARESE;VA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
IACONO;GIOVANNA;14/06/1983;AGRIGENTO;AG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
IAIA;DARIO;20/11/1973;FRANCAVILLA FONTANA ;BR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
IANNONE;ANTONIO;18/09/1975;TORRE DEL GRECO ;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
IARIA;ANTONINO;27/12/1970;CONDOFURI ;RC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
IEZZI;IGOR;18/01/1975;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
IRTO;NICOLA;05/01/1982;REGGIO CALABRIA;RC;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
KELANY;SARA;08/06/1978;FORMIA ;LT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
KOMPATSCHER;ARNO;19/03/1971;FIE' ALLO SCILIAR;BZ;31/12/2030;PROVINCIA AUTONOMA BOLZANO;PRESIDENTE
LA MARCA;FRANCESCA;03/10/1975;CANADA;;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LA PIETRA;PATRIZIO GIACOMO;10/04/1961;PISTOIA;PT;31/12/2030;Ministero dell'Agricoltura, della Sovranità alimentare e delle Foreste;SOTTOSEGRETARIO DI STATO
LA PIETRA;PATRIZIO GIACOMO;10/04/1961;PISTOIA;PT;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LA PORTA;CHIARA;07/06/1991;PRATO;PO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LA RUSSA;IGNAZIO;18/07/1947;PATERNO';CT;31/12/2030;SENATO DELLA REPUBBLICA;PRESIDENTE
LA RUSSA;IGNAZIO;18/07/1947;PATERNO';CT;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LA SALANDRA;GIANDONATO;29/09/1978;FOGGIA;FG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
L'ABBATE;ABBATE PATTY;02/05/1966;POLIGNANO A MARE ;BA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LACARRA;MARCO;04/08/1962;BARI;BA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
