COGNOME;NOME;DATA NASCITA (gg/mm/aaaa);LUOGO NASCITA;PROVINCIA NASCITA;DATA FINE CONTROLLO (gg/mm/aaaa);ENTE DI APPARTENENZA;RUOLO
LAI;SILVIO;20/07/1966;SASSARI;SS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LAMPIS;GIANNI;31/05/1988;CAGLIARI;CA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LANCELLOTTA;ELISABETTA CHRISTIANA;02/03/1979;ISERNIA;IS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LATINI;GIORGIA;18/04/1980;FABRIANO ;AN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LAUS;MAURO ANTONIO DONATO;07/08/1966;LAVELLO ;PZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LAZZARINI;ARIANNA;06/03/1976;MONSELICE ;PD;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LEO;MAURIZIO;25/07/1955;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LEONARDI;ELENA;03/05/1975;RECANATI ;MC;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LICHERI;ETTORE ANTONIO;11/10/1963;SASSARI;SS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LICHERI;SABRINA;04/06/1971;ASSEMINI ;CA ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LIRIS;GUIDO QUINTINO;12/06/1979;L'AQUILA;AQ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LISEI;MARCO;15/03/1977;BOLOGNA;BO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LOCATELLI;ALESSANDRA;24/09/1976;COMO;CO;31/12/2030;MINISTERO PER LE DISABILITA';MINISTRO
LOIZZO;SIMONA;20/02/1965;COSENZA;CS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LOLLOBRIGIDA;FRANCESCO;21/03/1972;TIVOLI;RM;31/12/2030;MINISTERO DELL'AGRICOLTURA, DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE;MINISTRO
LOLLOBRIGIDA;FRANCESCO;21/03/1972;TIVOLI ;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LOMBARDO;MARCO;02/01/1981;LOCRI ;RC;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LOMUTI;ARNALDO;14/02/1975;VENOSA ;PZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LONGI;ELIANA;13/09/1978;CATANIA;CT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LOPERFIDO;EMANUELE;04/11/1975;PORDENONE;PN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LOPREIATO;ADA;06/09/1971;NAPOLI;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LOREFICE;PIETRO;18/07/1967;GELA ;CL;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LORENZIN;BEATRICE;14/10/1971;ROMA ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LOSACCO;ALBERTO;01/07/1970;BRINDISI;BR;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LOTITO;CLAUDIO;09/05/1957;ROMA ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LOVECCHIO;GIORGIO;05/03/1978;FOGGIA;FG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LUCASELLI;YLENJA;22/04/1976;TARANTO;TA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LUPI;MAURIZIO;03/10/1959;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MACCANTI;ELENA;05/02/1971;TORINO;TO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MACCARI;CARLO;11/05/1965;VOLTA MANTOVANA ;MN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MADIA;MARIA ANNA;05/09/1980;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MAERNA;NOVO UMBERTO;06/09/1956;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MAFFONI;GIANPIETRO;02/11/1951;ORZINUOVI ;BS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MAGI;RICCARDO;07/08/1976;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MAGNI;TINO;29/06/1947;BARZAGO ;CO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MAIORANO;GIOVANNI;26/09/1974;MANDURIA ;TA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MAIORINO;ALESSANDRA;24/07/1974;ROMA ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MALAGOLA;LORENZO;10/11/1982;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MALAGUTI;MAURO;01/03/1960;FERRARA;FE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MALAN;LUCIO;30/07/1960;LUSERNA SAN GIOVANNI ;TO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MALAVASI;ILENIA;22/10/1971;CORREGGIO ;RE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MALPEZZI;SIMONA FLAVIA ;22/08/1972;CERNUSCO SUL NAVIGLIO ;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MANCA;DANIELE;16/05/1969;IMOLA ;BO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MANCINI;CLAUDIO;22/02/1969;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MANCINI;PAOLA;04/11/1973;ASOLA ;MN;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MANES;FRANCO;21/06/1963;AOSTA;AO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MANGIALAVORI;GIUSEPPE TOMMASO VINCENZO;11/02/1975;MERANO ;BZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MANTOVANI;LUCREZIA MARIA BENEDETTA;20/05/1984;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MANTOVANO;ALFREDO;14/01/1958;LECCE;LE;31/12/2030;Presidenza del Consiglio dei Ministri;SOTTOSEGRETARIO DI STATO
MANZI;IRENE;16/08/1977;MACERATA;MC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MARATTIN;LUIGI;20/02/1979;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MARCHESCHI;PAOLO;23/03/1961;FIRENZE;FI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MARCHETTI;RICCARDO AUGUSTO;08/05/1987;UMBERTIDE ;PG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MARCHETTO ALIPRANDI;MARINA;17/11/1951;ESTE ;PD;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MARI;FRANCESCO;04/09/1962;SALERNO;SA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MARINO;MARIA STEFANIA;05/01/1969;ENNA;EN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MARROCCO;PATRIZIA;21/03/1977;GERMANIA;;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MARSILIO;MARCO;17/02/1968;ROMA;RM;31/12/2030;REGIONE ABRUZZO;PRESIDENTE
MARTELLA;ANDREA;27/08/1968;PORTOGRUARO ;VE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MARTI;ROBERTO;11/06/1974;LECCE;LE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MARTON;BRUNO;28/09/1969;VAREDO ;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MASCARETTI;ANDREA;14/04/1965;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MASCHIO;CIRO;23/07/1971;NEGRAR ;VR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MATERA;DOMENICO;19/05/1965;BENEVENTO;BN;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MATERA;MARIANGELA;03/01/1967;ANDRIA ;BA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MATONE;SIMONETTA;16/06/1953;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MATTARELLA;SERGIO;23/07/1941;PALERMO;PA;31/12/2030;PRESIDENZA DELLA REPUBBLICA;PRESIDENTE
MATTEONI;NICOLE;24/12/1987;TRIESTE;TS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MATTIA;ALDO;11/01/1956;FROSINONE;FR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MAULLU;STEFANO GIOVANNI;15/03/1962;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MAURI;MATTEO;24/05/1970;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MAZZELLA;ORFEO;30/09/1965;CERCOLA ;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MAZZETTI;ERICA;31/05/1977;PRATO;PO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MAZZI;GIANMARCO;01/07/1960;VERONA;VR;31/12/2030;Ministero della Cultura;SOTTOSEGRETARIO DI STATO
MAZZI;GIANMARCO;01/07/1960;VERONA;VR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MELCHIORRE;FILIPPO;07/05/1966;BARI;BA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MELONI;GIORGIA;15/01/1977;ROMA;RM;31/12/2030;PRESIDENZA DEL CONSIGLIO DEI MINISTRI;PRESIDENTE
MELONI;GIORGIA;15/01/1977;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MELONI;MARCO;16/06/1971;QUARTU SANT'ELENA ;CA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MENIA;ROBERTO;03/12/1961;PIEVE DI CADORE ;BL;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MENNUNI;LAVINIA;17/04/1976;REGNO UNITO;;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MEROLA;VIRGINIO;14/02/1955;SANTA MARIA CAPUA VETERE ;CE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MESSINA;MANLIO;12/11/1973;CATANIA;CT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MICHELOTTI;FRANCESCO;31/03/1983;COLLE DI VAL D'ELSA ;SI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MIELE;GIOVANNA;24/07/1980;LATINA;LT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MIELI;ESTER;22/04/1976;ROMA ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MILANI;MASSIMO;24/09/1967;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MINARDO;ANTONINO;05/02/1978;MODICA ;RG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MINASI;TILDE;24/07/1960;REGGIO CALABRIA;RC;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MIRABELLI;FRANCO;09/02/1960;MILANO;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MISIANI;ANTONIO;04/09/1968;BERGAMO;BG;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MODUGNO;FRANCO;03/05/1938;ROMA;RM;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
MOLINARI;RICCARDO;29/07/1983;ALESSANDRIA;AL;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MOLLICONE;FEDERICO;23/11/1970;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MOLTENI;NICOLA;06/03/1976;CANTU';CO;31/12/2030;Ministero dell'Interno;SOTTOSEGRETARIO DI STATO
MOLTENI;NICOLA;06/03/1976;CANTU' ;CO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MONTARULI;AUGUSTA;14/09/1983;TORINO;TO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MONTEMAGNI;ELISA;01/06/1986;VIAREGGIO ;LU;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MONTI;MARIO;19/03/1943;VARESE;VA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MORASSUT;ROBERTO;16/11/1963;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MORELLI;ALESSANDRO;09/05/1977;VIZZOLO PREDABISSI;MI;31/12/2030;Presidenza del Consiglio dei Ministri;SOTTOSEGRETARIO DI STATO
MORELLI;ALESSANDRO;09/05/1977;VIZZOLO PREDABISSI ;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MORFINO;DANIELA;14/05/1974;PALERMO;PA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MORGANTE;MADDALENA;14/06/1981;VERONA;VR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MORRONE;JACOPO;23/01/1983;FORLI' ;FO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MULE';GIORGIO;25/04/1968;CALTANISSETTA;CL;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MURA;FRANCESCO;20/09/1983;GHILARZA ;OR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
MURELLI;ELENA;29/07/1975;PIACENZA;PC;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MUSOLINO;DAFNE;04/12/1974;MESSINA;ME;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
MUSUMECI;NELLO;21/01/1955;MILITELLO IN VAL DI CATANIA;CT;31/12/2030;MINISTERO PER LA PROTEZIONE CIVILE E LE POLITICHE DEL MARE;MINISTRO
MUSUMECI;NELLO;21/01/1955;MILITELLO IN VAL DI CATANIA ;CT;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
NASTRI;GAETANO;18/03/1968;BOSCOREALE ;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
NATURALE;GISELLA;03/06/1969;SAN GIOVANNI ROTONDO ;FG;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
NAVARRETTA;EMANUELA;03/01/1966;CAMPOBASSO;CB;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
NAVE;LUIGI;13/05/1970;VILLARICCA;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
NEVI;RAFFAELE;09/03/1973;NARNI ;TR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
NICITA;ANTONIO;10/02/1968;SIRACUSA;SR;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
NISINI;TIZIANA;18/10/1975;PAVIA;PV;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
NOCCO;VITA MARIA ;12/12/1974;SANTERAMO IN COLLE ;BA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
NORDIO;CARLO;06/02/1947;TREVISO;TV;31/12/2030;MINISTERO DELA GIUSTIZIA;MINISTRO
NORDIO;CARLO;06/02/1947;TREVISO;TV;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
OCCHIUTO;MARIO;06/01/1964;COSENZA;CS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
OCCHIUTO;ROBERTO;13/05/1969;COSENZA;CS;31/12/2030;REGIONE CALABRIA;PRESIDENTE
ONORI;FEDERICA;16/06/1988;ALBANO LAZIALE ;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ORFINI;MATTEO;30/08/1974;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ORLANDO;ANDREA;08/02/1969;LA SPEZIA;SP;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ORRICO;ANNA LAURA;29/12/1980;COSENZA;CS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ORSINI;ANDREA;23/09/1959;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ORSOMARSO;FAUSTO;18/08/1971;COSENZA;CS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
OSNATO;MARCO;20/03/1972;BELLUNO;BL;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
OSTELLARI;ANDREA;17/03/1974;CAMPO SAN MARTINO;PD;31/12/2030;Ministero della Giustizia;SOTTOSEGRETARIO DI STATO
OSTELLARI;ANDREA;17/03/1974;CAMPO SAN MARTINO ;PD;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
OTTAVIANI;NICOLA;21/07/1968;FROSINONE;FR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PADOVANI;MARCO;25/03/1959;VERONA;VR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PAGANELLA;ANDREA;03/12/1974;RONCOFERRARO ;MN;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PAGANO;NAZARIO;23/05/1957;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PAGANO;UBALDO;16/05/1979;BARI;BA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PAITA;RAFFAELLA;23/11/1974;LA SPEZIA;SP;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PALOMBI;ALESSANDRO;07/07/1976;TIVOLI ;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PANETTA;FABIO;01/08/1959;ROMA;RM;31/12/2030;BANCA D'ITALIA;GOVERNATORE
PANIZZUT;MASSIMILIANO;10/12/1968;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PAROLI;ADRIANO;30/03/1962;BRESCIA;BS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PARRINI;DARIO;17/10/1973;VINCI ;FI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PASTORELLA;GIULIA;05/06/1986;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PASTORINO;LUCA;30/09/1971;GENOVA;GE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PATRIARCA;ANNARITA;27/07/1971;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PATRONI GRIFFI;FILIPPO;27/08/1955;NAPOLI;NA;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
PATRONI GRIFFI;FILIPPO;27/08/1966;NAPOLI;NA;31/12/2030;CONSIGLIO DI STATO;PRESIDENTE
PATTON;PIETRO;28/12/1957;TRENTO;TN;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PATUANELLI;STEFANO;08/06/1974;TRIESTE;TS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PAVANELLI;EMMA;19/03/1973;CHIAVARI ;GE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PELLA;ROBERTO;06/03/1970;BIELLA;BI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PELLEGRINI;MARCO;30/07/1964;FOGGIA;FG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PELLEGRINO;CINZIA;17/07/1975;POGGIARDO;LE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PELLICINI;ANDREA;28/01/1970;VARESE;VA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PELUFFO;VINICIO GIUSEPPE GUIDO;21/03/1971;RHO ;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PENZA;PASQUALINO;16/01/1986;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PERA;MARCELLO;28/01/1943;LUCCA;LU;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PEREGO;MATTEO;18/08/1982;CREMNAGO;CO;31/12/2030;Ministero della Difesa;SOTTOSEGRETARIO DI STATO
PERISSA;MARCO;22/05/1982;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PETITTI;STEFANO;02/09/1953;ROMA;RM;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
PETRENGA;GIOVANNA;06/07/1956;CASAL DI PRINCIPE ;CE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PETRUCCI;SIMONA;17/04/1971;GROSSETO;GR;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PIANO;RENZO;14/09/1937;GENOVA;GE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PIANTEDOSI;MATTEO;20/04/1963;NAPOLI;NA;31/12/2030;MINISTERO DELL'INTERNO;MINISTRO
PICCOLOTTI;ELISABETTA;10/02/1982;CAMERINO ;MC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PICHETTO FRATIN;GILBERTO;04/01/1954;VEGLIO ;VC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PICHETTO FRATIN;GILBERTO;04/01/1954;VEGLIO;VC;31/12/2030;MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA;MINISTRO
PIERRO;ATTILIO;10/11/1974;MARATEA ;PZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PIETRELLA;FABIO;11/04/1977;CARBONIA;CA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PINELLI;FABIO;01/02/1966;LUCCA;LU;31/12/2030;CONSIGLIO SUPERIORE DELLA MAGISTRATURA;VICE PRESIDENTE
PIRONDINI;LUCA;08/06/1981;GENOVA;GE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PIROVANO;DAISY;19/12/1977;ROMANO DI LOMBARDIA ;BG;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PIRRO;ELISA;15/07/1973;TORINO;TO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PISANO;CALOGERO;20/06/1981;AGRIGENTO;AG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PITRUZZELLA;GIOVANNI;15/07/1959;PALERMO;PA;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
PITTALIS;PIETRO;30/04/1958;BELGIO;;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PIZZIMENTI;GRAZIANO;07/05/1961;UDINE;UD;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
