COGNOME;NOME;DATA NASCITA (gg/mm/aaaa);LUOGO NASCITA;PROVINCIA NASCITA;DATA FINE CONTROLLO (gg/mm/aaaa);ENTE DI APPARTENENZA;RUOLO
POGLIESE;SALVO;03/03/1972;CATANIA;CT;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
POLIDORI;CATIA;03/07/1967;CITTA' DI CASTELLO ;PG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
POLO;BARBARA;04/02/1973;OZIERI ;SS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PORTA;FABIO;05/11/1963;CALTAGIRONE ;CT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
POTENTI;MANFREDI;21/07/1976;CECINA ;LI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
POZZOLO;EMANUELE;25/08/1985;VERCELLI;VC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PRESTIPINO;PATRIZIA;16/09/1963;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PRETTO;ERIK UMBERTO;24/12/1984;SCHIO ;VI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PRISCO;EMANUELE;23/11/1977;PERUGIA;PG;31/12/2030;Ministero dell'Interno;SOTTOSEGRETARIO DI STATO
PRISCO;EMANUELE;23/11/1977;PERUGIA;PG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PROIETTI;STEFANIA ;05/01/1975;ASSISI;PG;31/12/2030;REGIONE UMBRIA;PRESIDENTE
PROSPERETTI;GIULIO;07/12/1946;PERUGIA;PG;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
PROVENZANO;GIUSEPPE;23/07/1982;SAN CATALDO ;CL;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
PUCCIARELLI;STEFANIA;06/03/1967;SARZANA ;SP;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
PULCIANI;PAOLO;03/02/1972;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
QUARTAPELLE PROCOPIO;LIA;15/08/1982;VARESE;VA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
QUARTINI;ANDREA;21/03/1960;GAMBASSI TERME;FI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RAFFA;ANGELA;26/01/1993;MESSINA;ME;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RAIMONDO;CARMINE FABIO;09/11/1978;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RAMPELLI;FABIO;02/08/1960;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RANDO;VINCENZA;09/06/1958;NISCEMI ;CL;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
RAPANI;ERNESTO;02/05/1967;ROSSANO ;CS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
RASTRELLI;SERGIO;17/01/1966;NAPOLI;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
RAUTI;ISABELLA;17/11/1962;ROMA;RM;31/12/2030;Ministero della Difesa;SOTTOSEGRETARIO DI STATO
RAUTI;ISABELLA;17/11/1962;ROMA ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
RAVETTO;LAURA;25/01/1971;CUNEO;CN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RENZI;MATTEO;11/01/1975;FIRENZE;FI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
RICCIARDI;MARIANNA;13/01/1994;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RICCIARDI;RICCARDO;08/05/1982;PIETRASANTA ;LU;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RICCIARDI;TONI;20/12/1977;ATRIPALDA;AV;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RICHETTI;MATTEO;03/08/1974;SASSUOLO ;MO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RIXI;EDOARDO;08/06/1974;GENOVA;GE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RIZZETTO;WALTER;25/06/1975;SAN VITO AL TAGLIAMENTO ;PN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROBERTI;FRANCESCO;15/06/1967;MONTEFALCONE NEL SANNIO;CB;31/12/2030;REGIONE MOLISE;PRESIDENTE
ROCCA;FRANCESCO;01/09/1965;ROMA;RM;31/12/2030;REGIONE LAZIO;PRESIDENTE
ROCCELLA;EUGENIA;15/11/1953;BOLOGNA;BO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROCCELLA;EUGENIA MARIA;15/11/1953;BOLOGNA;BO;31/12/2030;MINISTERO PER LA FAMIGLIA, LA NATALITA' E LE PARI OPPORTUNITA';MINISTRO
ROGGIANI;SILVIA;25/04/1984;BUSTO ARSIZIO ;VA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROJC;TATJANA;26/10/1961;TRIESTE;TS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ROMANO;FRANCESCO SAVERIO;24/12/1964;PALERMO;PA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROMEO;MASSIMILIANO;22/01/1971;MONZA ;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ROMEO;NADIA;23/06/1971;ROVIGO;RO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RONZULLI;LICIA;14/09/1975;MILANO;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ROSA;GIANNI;27/03/1965;POTENZA ;PZ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ROSATO;ETTORE;28/07/1968;TRIESTE;TS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROSCANI;FABIO;03/06/1990;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROSSELLO;CRISTINA;24/12/1961;FINALE LIGURE ;SV;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROSSI;ANDREA;09/10/1976;SCANDIANO ;RE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROSSI;ANGELO;23/02/1976;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROSSI;FABRIZIO;02/03/1975;MONTALCINO ;SI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROSSO;MATTEO;25/06/1967;GENOVA;GE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROSSO;ROBERTO;16/08/1967;TORINO;TO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ROSSOMANDO;ANNA;30/06/1963;TORINO;TO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ROTELLI;MAURO;02/04/1971;VITERBO;VT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ROTONDI;GIANFRANCO;25/07/1960;AVELLINO;AV;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RUBANO;FRANCESCO MARIA;21/01/1988;TELESE TERME;BN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RUBBIA;CARLO;31/03/1934;GORIZIA;GO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
RUFFINO;DANIELA;07/02/1959;TORINO;TO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RUSPANDINI;MASSIMO;20/06/1973;CECCANO ;FR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RUSSO;GAETANA;25/04/1981;FIDENZA ;PR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RUSSO;PAOLO EMILIO;06/06/1977;COMO;CO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
RUSSO;RAOUL;03/03/1971;PALERMO;PA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SACCANI JOTTI;GLORIA;24/10/1956;REGGIO EMILIA;RE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SALA;FABRIZIO;13/06/1971;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SALLEMI;SALVATORE;31/01/1977;VITTORIA ;RG;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SALVINI;MATTEO;09/03/1973;MILANO;MI;31/12/2030;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;MINISTRO
SALVINI;MATTEO;09/03/1973;MILANO;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SALVITTI;GIORGIO;10/02/1968;COLLEFERRO ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SAN GIORGIO;MARIA ROSARIA;16/07/1952;NAPOLI;NA;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
SANTILLO;AGOSTINO;28/10/1974;CASERTA;CE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SARRACINO;MARCO;21/06/1989;VILLARICCA ;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SASSO;ROSSANO;18/06/1975;BARI;BA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SATTA;GIOVANNI;22/01/1965;ROMA ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SAVINO;SANDRA;07/02/1960;TRIESTE;TS;31/12/2030;Ministero dell'Economia e delle Finanze;SOTTOSEGRETARIO DI STATO
SBARDELLA;LUCA;26/09/1973;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SBROLLINI;DANIELA;30/09/1971;LATIANO ;BR;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SCALFAROTTO;IVAN;16/08/1965;PESCARA;PE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SCARPA;RACHELE;29/01/1997;TREVISO;TV;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SCARPINATO;ROBERTO MARIA FERDINANDO;14/01/1952;CALTANISSETTA;CL;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SCERRA;FILIPPO;25/03/1978;CATANIA;CT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SCHIANO DI VISCONTI;MICHELE;26/02/1962;MUGNANO DI NAPOLI ;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SCHIFANI;RENATO MARIA GIUSEPPE ;11/05/1950;PALERMO;PA;31/12/2030;REGIONE SICILIA;PRESIDENTE
SCHIFONE;MARTA;09/10/1980;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SCHILLACI;ORAZIO;27/04/1966;ROMA;RM;31/12/2030;MINISTERO DELLA SALUTE;MINISTRO
SCHLEIN;ELLY;04/05/1985;SVIZZERA;;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SCHULLIAN;MANFRED;09/03/1962;BOLZANO;BZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SCIARRONE ALIBRANDI;ANTONELLA;02/05/1965;MILANO;MI;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
SCOTTO;ARTURO;15/05/1978;TORRE DEL GRECO ;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SCURRIA;MARCO;18/05/1967;ROMA ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SCUTELLA';ELISA;31/10/1987;GENOVA;GE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SEGRE;LILIANA;10/09/1930;MILANO;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SEMENZATO;MARTINA;09/07/1973;SPINEA ;VE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SENSI;FILIPPO;04/03/1968;ROMA ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SERRACCHIANI;DEBORA;10/11/1970;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SIGISMONDI;ETELWARDO;29/09/1974;VASTO ;CH;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SILLI;GIORGIO;16/07/1977;FIRENZE;FI;31/12/2030;Ministero degli Affari Esteri e della Cooperazione Internazionale;SOTTOSEGRETARIO DI STATO
SILVESTRI;FRANCESCO;08/04/1981;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SILVESTRI;RACHELE;30/08/1986;ASCOLI PICENO;AP;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SILVESTRO;FRANCESCO;22/10/1971;ARZANO ;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SILVESTRONI;MARCO;08/11/1962;ROMA ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SIMIANI;MARCO;25/04/1970;PISA;PI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SIRACUSANO;MATILDE;26/04/1985;MESSINA;ME;31/12/2030;Ministero per i Rapporti con il Parlamento;SOTTOSEGRETARIO DI STATO
SIRACUSANO;MATILDE;26/04/1985;MESSINA;ME;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SIRONI;ELENA;18/02/1961;MILANO;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SISLER;SANDRO;12/04/1968;BOLLATE ;MI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SISTO;FRANCESCO PAOLO ;27/04/1955;BARI;BA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SORTE;ALESSANDRO;19/02/1984;TREVIGLIO ;BG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SOTTANELLI;GIULIO CESARE;10/04/1970;SVIZZERA;;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SOUMAHORO;ABOUBAKAR;06/06/1980;COSTA D'AVORIO;;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SPAGNOLLI;LUIGI;10/02/1960;BOLZANO;BZ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SPELGATTI;NICOLETTA;28/07/1971;AOSTA;AO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SPERANZA;ROBERTO;04/01/1979;POTENZA;PZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SPERANZON;RAFFAELE;07/10/1971;VENEZIA;VE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SPINELLI;DOMENICA;08/01/1969;SAMMICHELE DI BARI ;BA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
SPORTIELLO;GILDA;19/02/1987;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SQUERI;LUCA;18/12/1961;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
STEFANAZZI;CLAUDIO MICHELE;08/05/1970;TRICASE ;LE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
STEFANI;ALBERTO;16/11/1992;CAMPOSAMPIERO ;PD;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
STEFANI;ERIKA;18/07/1971;VALDAGNO ;VI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
STEGER;DIETER;24/06/1964;BRUNICO ;BZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
STUMPO;NICOLA;20/08/1969;CATANZARO;CZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
SUDANO;VALERIA;26/09/1975;CATANIA;CT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TABACCI;BRUNO;27/08/1946;QUISTELLO ;MN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TAJANI;ANTONIO;04/08/1953;ROMA;RM;31/12/2030;MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE;MINISTRO
TAJANI;ANTONIO;04/08/1953;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TAJANI;CRISTINA;28/11/1978;TERLIZZI;BA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
TASSINARI;ROSARIA;18/08/1967;FORLI' ;FO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TENERINI;CHIARA;08/12/1972;SAN MINIATO ;PI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TERNULLO;DANIELA;09/05/1975;SIRACUSA;SR;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
TERZI DI SANT'AGATA ;GIULIOMARIA ;09/06/1946;BERGAMO;BG;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
TESTA;GUERINO;16/03/1970;PESCARA;PE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TESTOLIN;RENZO;28/03/1968;AOSTA;AO;31/12/2030;REGIONE VALLE D'AOSTA;PRESIDENTE
TESTOR;ELENA;20/07/1973;CAVALESE ;TN;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
TIRELLI;FRANCO;10/10/1965;ARGENTINA;;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TOCCALINI;LUCA;18/05/1990;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TODDE;ALESSANDRA;06/02/1969;NUORO;NU;31/12/2030;REGIONE SARDEGNA;PRESIDENTE
TORTO;DANIELA;18/08/1985;CHIETI;CH;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TOSATO;PAOLO;08/09/1972;NEGRAR ;VR;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
TRANCASSINI;PAOLO;29/06/1963;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TRAVERSI;ROBERTO;01/12/1969;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TREMAGLIA;ANDREA;25/09/1987;BERGAMO;BG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TREMONTI;GIULIO;18/08/1947;SONDRIO;SO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TREVISI;ANTONIO SALVATORE ;26/01/1976;COPERTINO ;LE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
TRIPODI ;MARIA;21/07/1982;MELITO DI PORTO SALVO;RC;31/12/2030;Ministero degli Affari Esteri e della Cooperazione Internazionale;SOTTOSEGRETARIO DI STATO
TUBETTI;FRANCESCA;06/08/1982;MONFALCONE;GO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
TUCCI;RICCARDO;08/05/1986;GERMANIA;;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
TURCO;MARIO;14/06/1968;TARANTO;TA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
UNTERBERGER;JULIA;05/09/1962;MERANO ;BZ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
URSO;ADOLFO;12/07/1957;PADOVA;PD;31/12/2030;MINISTERO DELLE IMPRESE E DEL MADE IN ITALY;MINISTRO
URSO;ADOLFO;12/07/1957;PADOVA;PD;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
URZI';ALESSANDRO;07/05/1966;BOLZANO;BZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
VACCARI;STEFANO;10/04/1967;MODENA;MO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
VALDITARA;GIUSEPPE;12/01/1961;MILANO;MI;31/12/2030;MINISTERO DELL'ISTRUZIONE E DEL MERITO;MINISTRO
VALENTE;VALERIA;16/09/1976;NAPOLI;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
VARCHI;MARIA CAROLINA;14/10/1983;PALERMO;PA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
VERDUCCI;FRANCESCO;05/10/1972;FERMO;AP;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
VERINI;WALTER;17/01/1956;CITTA' DI CASTELLO;PG;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
VERSACE;GIUSY;20/05/1977;REGGIO CALABRIA;RC;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
VIETRI;IMMA;21/10/1969;SALERNO;SA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
VIGANO';FRANCESCO;01/03/1966;MILANO;MI;31/12/2030;CORTE COSTITUZIONALE;GIUDICE
VINCI;GIANLUCA;28/05/1980;REGGIO EMILIA;RE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
VOLPI;ANDREA;28/04/1981;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ZAFFINI;FRANCESCO;09/03/1955;SPOLETO;PG;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ZAIA;LUCA;27/03/1968;CONEGLIANO;TV;31/12/2030;REGIONE VENETO;PRESIDENTE
ZAMBITO;YLENIA;27/06/1974;PISA;PI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ZAMPA;SANDRA;16/05/1956;MERCATO SARACENO;FO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ZANELLA;LUANA;04/10/1950;VENEZIA;VE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ZANETTIN;PIERANTONIO;13/07/1961;VICENZA;VI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ZANGRILLO;PAOLO;03/12/1961;GENOVA;GE;31/12/2030;MINISTERO PER LA PUBBLICA AMMINISTRAZIONE;MINISTRO
ZANGRILLO;PAOLO;03/12/1961;GENOVA;GE;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ZARATTI;FILIBERTO;26/03/1956;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ZEDDA;ANTONELLA;17/01/1976;CAGLIARI;CA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ZIELLO;EDOARDO;11/04/1992;CIVITAVECCHIA ;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ZINZI;GIANPIERO;15/01/1983;CASERTA;CE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ZOFFILI;EUGENIO;25/10/1979;ERBA ;CO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ZUCCONI;RICCARDO;26/09/1956;CAMAIORE ;LU;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ZULLO;IGNAZIO;20/08/1959;CASSANO DELLE MURGE;BA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ZURZOLO;IMMACOLATA;07/06/1973;TORINO;TO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO